views,likes,dislikes,comment_count,category_id,channel_title,publish_time
3247605.0,54331.0,1239.0,11083.0,6,Channel_217,2023-01-31
912069.0,,238.0,3146.0,5,Channel_114,2023-01-19
4392359.0,124868.0,3836.0,21088.0,1,Channel_14,2023-07-07
25293543.0,542577.0,11715.0,93194.0,2,Channel_62,2023-08-01
752904.0,14982.0,345.0,760.0,6,Channel_43,2023-02-05
752929.0,26962.0,190.0,4610.0,7,Channel_411,2023-05-28
28301508.0,1019954.0,12587.0,177225.0,7,Channel_240,2023-10-10
5580949.0,239873.0,4936.0,34763.0,3,Channel_96,2023-02-05
470265.0,12560.0,201.0,1606.0,5,Channel_27,2023-03-18
3559462.0,46000.0,3404.0,16573.0,6,Channel_324,2023-03-14
475996.0,9971.0,453.0,1675.0,7,Channel_383,2023-09-07
473800.0,23311.0,109.0,527.0,4,Channel_242,2023-02-27
1951140.0,66047.0,506.0,9633.0,6,Channel_487,2023-12-24
26198.0,1006.0,23.0,49.0,4,Channel_459,2023-11-02
38184.0,393.0,17.0,60.0,5,Channel_240,2023-01-11
390594.0,12002.0,41.0,2456.0,1,Channel_304,2023-08-02
158631.0,1824.0,55.0,169.0,4,Channel_67,2023-12-28
2254626.0,73882.0,1438.0,17390.0,6,Channel_281,2023-08-26
195624.0,9161.0,160.0,901.0,6,Channel_192,2023-08-23
71353.0,3478.0,16.0,562.0,7,Channel_119,2023-08-12
22551171.0,713116.0,4499.0,31707.0,4,Channel_152,2023-04-15
765625.0,21689.0,712.0,3893.0,2,Channel_265,2023-11-24
1376502.0,65798.0,1068.0,4742.0,7,Channel_392,2023-04-09
69599.0,2571.0,44.0,481.0,2,Channel_231,2023-08-15
404835.0,5099.0,321.0,1428.0,2,Channel_351,2023-08-11
1501305.0,42981.0,730.0,4239.0,4,Channel_249,2023-11-21
120332.0,2360.0,94.0,843.0,4,Channel_59,2023-12-01
2549470.0,73405.0,1108.0,9236.0,6,Channel_17,2023-10-08
361755.0,10208.0,116.0,404.0,5,Channel_171,2023-02-13
671059.0,22337.0,507.0,2504.0,5,Channel_351,2023-12-18
360983.0,8761.0,172.0,2015.0,1,Channel_452,2023-12-15
48864239.0,809720.0,48045.0,135868.0,4,Channel_132,2023-06-03
1170575.0,35291.0,485.0,4710.0,7,Channel_357,2023-12-06
145013.0,6266.0,135.0,203.0,7,Channel_136,2023-10-18
6231264.0,227818.0,5855.0,31883.0,5,Channel_42,2023-08-13
104643.0,2463.0,33.0,659.0,5,Channel_305,2023-04-30
1826162.0,86598.0,1495.0,7110.0,2,Channel_6,2023-08-03
23877.0,1110.0,12.0,94.0,2,Channel_329,2023-02-23
84426.0,1551.0,78.0,137.0,7,Channel_170,2023-08-09
1782848.0,20640.0,901.0,4303.0,7,Channel_456,2023-09-01
5266798.0,208841.0,4055.0,10969.0,2,Channel_288,2023-02-23
1694226.0,73029.0,881.0,7407.0,3,Channel_399,2023-04-28
954271.0,46487.0,291.0,4490.0,5,Channel_338,2023-11-28
658548.0,30025.0,184.0,5033.0,2,Channel_215,2023-02-12
62502.0,2126.0,30.0,95.0,2,Channel_69,2023-09-05
285019.0,8893.0,222.0,1482.0,4,Channel_370,2023-10-19
478649.0,5320.0,309.0,2243.0,7,Channel_27,2023-09-06
9961562.0,197899.0,7170.0,45959.0,6,Channel_225,2023-04-12
23910340.0,67869.0,847.0,17005.0,2,Channel_322,2023-03-29
35381.0,1243.0,19.0,86.0,4,Channel_234,2023-12-20
2299421.0,74248.0,322.0,2956.0,1,Channel_486,2023-03-26
556730.0,22105.0,465.0,3177.0,2,Channel_443,2023-09-19
310567.0,6581.0,308.0,1061.0,6,Channel_412,2023-08-10
